OBJECTID,School Name,Address,Address2,City,State,Zip,County,Contact Name,Title,Phone,Email / Contact Page,Institute Type Description,Institute Sub Type Description,Record Type Description,Community Type Description,District Type Description,School District Location,Institute ID,SED Code,x,y
11,MONTESSORI SCHOOL OF SCHENECTADY,375B SARATOGA RD,,GLENVILLE,NY,12302,SARATOGA,JODI MCCLERRIAN,DIRECTOR,5183744764,montessori.schenectady@gmail.com,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,BURNT HILLS-BALLSTON LAKE CSD,800000038413,800000038413,587440.950450649,4748084.40645345
12,GERMAN SCHOOL BROOKLYN,760 STERLING PL,,BROOKLYN,NY,11216,KINGS,RAPHAEL HILLISCH,HEAD OF SCHOOL,9174999927,rhillisch@germanschoolbrooklyn.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 17,800000088803,331300996268,588462.812982,4502935.58207639
13,GARVEY SCHOOL,3950 BRONXWOOD AVE,,BRONX,NY,10466,BRONX,JUNE O'CONNOR,DIRECTOR,7183203902,oconnorj@garveyschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 11,800000063691,321100995742,596475.765990115,4526656.57562438
14,BOCES F DONALD MEYERS EDUC CTR,15 HENNING RD,,SARATOGA SPRINGS,NY,12866,SARATOGA,LAURA SCHAEFER,PRINCIPAL,5185813638,lschaefer@wswheboces.org,BOCES,BOCES BUILDINGS,BOCES BUILDING (NON-IMF),,,SARATOGA SPRINGS CITY SD,800000038465,800000038465,601452.495448181,4770565.24514296
15,POUGHKEEPSIE COMMUNITY SDA SCHOOL,110 SOUTH GRAND AVE,,POUGHKEEPSIE,NY,12603,DUTCHESS,CAROL ASHE,PRINCIPAL,8458490005,info@poughkeepsiesdaschool.org,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,SMALL CITIES,,POUGHKEEPSIE CITY SD,800000053310,800000053310,590912.63965328,4615823.95324954
16,CENTRAL BAPTIST CHRISTIAN ACADEMY,1606 STATE ROUTE 12,,BINGHAMTON,NY,13901,BROOME,MARIA LEVINUS,DIRECTOR,6076486210,mlevinus@centraladvantage.org,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,MEDIUM CENTRAL DISTRICTS,,CHENANGO FORKS CSD,800000055075,030101990009,427133.902216448,4670634.61038812
17,MONTESSORI PROGRESSIVE LEARNING,195-03 LINDEN BLVD,,SAINT ALBANS,NY,11412,QUEENS,SANDRA SMITH,ADMINISTRATOR,7187233967,hello@mplc.school,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,NEW YORK CITY,,NYC GEOG DIST 29,800000060818,800000060818,605033.208814194,4505468.17987171
18,BOVL - SP ED - RYE LAKE LOWER CAMPUS,1606 OLD ORCHARD ST,,WHITE PLAINS,NY,10604,WESTCHESTER,JULIE DOLAN,PRINCIPAL,9149487271,jdolan@swboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES SOUTHERN WESTCHESTER,800000088984,800000088984,604913.713635121,4548582.71248263
19,GOOD WILL OF FINGER LAKES INC.,422 S CLINTON AVE,,ROCHESTER,NY,14620,MONROE, ,,,,INDEPENDENT ORGANIZATIONS,NATIONAL EXTERNAL DIPLOMA PROGRAM LOCATIONS,OTHER- NON IMF,,,ROCHESTER CITY SD,800000093583,800000093583,288311.452178804,4780554.21411231
20,DESTINATION TOMORROW INC,452 E 149TH ST 3RD FL,,BRONX,NY,10455,BRONX, ,,,,INDEPENDENT ORGANIZATIONS,NATIONAL EXTERNAL DIPLOMA PROGRAM LOCATIONS,OTHER- NON IMF,,,NYC GEOG DIST 7,800000093584,800000093584,591462.061476638,4518785.05982823
21,WESTCHESTER AREA SCHOOL,456 WEBSTER AVE,,NEW ROCHELLE,NY,10801,WESTCHESTER,RAYMOND DIXON,PRINCIPAL,9142355799,principal@westchesterareaschool.org,NON-PUBLIC SCHOOLS,SEVENTH-DAY ADVENTIST,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES,,NEW ROCHELLE CITY SD,800000035093,661100437810,601310.687235669,4530422.33626771
22,SUCCESS ACADEMY CHARTER SCHOOL-NYC 15,20 JAY ST-STE 504,,BROOKLYN,NY,11201,KINGS,VACANT VACANT,CHARTER SCHOOL LEADER,3476615743,rdaverin@explorenetwork.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 17,800000074916,331700861038,585601.272693731,4506402.92327251
23,BOVL - SUNY SULLIVAN,112 COLLEGE RD,,LOCH SHELDRAKE,NY,12759,SULLIVAN,JEFFREY MOLUSKY,ADMINISTRATOR,,jeffrey.molusky@scboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES SULLIVAN,800000093581,800000093581,527453.700554483,4623689.78203717
24,LEARNING TREE PREPARATORY SCHOOL (THE),3920 PAULDING AVE,,BRONX,NY,10466,BRONX,WENDY LARRIER,PRINCIPAL,7189440958,mslarrier@tltprep.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 11,800000046010,321100996013,596660.324266692,4526458.69332784
25,ZETA CHARTER SCHOOL - NEW YORK CITY 8,425 WESTCHESTER AVE,,BRONX,NY,10455,QUEENS,EMILY KIM,CEO,9294583000,emily.kim@zetaschools.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 28,800000093533,342800861209,591430.271428998,4518960.13009058
26,ZETA CHARTER SCHOOL - NEW YORK CITY 7,425 WESTCHESTER AVE,,BRONX,NY,10455,QUEENS,EMILY KIM,CEO,9294583000,emily.kim@zetaschools.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 25,800000093531,342500861208,591430.271428998,4518960.13009058
27,CONGREGATION TALMUD TORAH IMREI BINAH,244 VIOLA RD,,MONSEY,NY,10952,ROCKLAND,DAVID KRAUSS,PRINCIPAL,8453564138,imreibina1@gmail.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,EAST RAMAPO CSD (SPRING VALLEY),800000089596,500402226294,577583.802678847,4554319.70808002
28,IMAGINE ME LEADERSHIP CHARTER SCHOOL,39 TRUXTON ST,,BROOKLYN,NY,11233,KINGS,KATHERINE CORBETT,CHARTER SCHOOL LEADER,3479852140,kcorbett@imlcs.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 23,800000067234,331900860973,592303.77573802,4503657.79215868
29,YESHIVA KOL TORAH OF THE FIVE TOWNS AND FAR ROCKAWAY,23 DONAHUE AVE,,INWOOD,NY,11096,NASSAU,BORUCH WASSER,DEAN,5162466815,rwasser@yeshivakoltorah.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS,,LAWRENCE UFSD,800000092329,280215226579,605797.196959098,4497054.81226354
30,WHIN MUSIC COMMUNITY CHARTER SCHOOL,528 W 162ND ST,,NEW YORK,NY,10032,NEW YORK,CHARLES ORTIZ,EXECUTIVE DIRECTOR,2678792545,charlie.ortiz@whinmusic.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 6,800000087936,310600861111,589257.073172268,4521149.63037174
31,MARTIN DE PORRES SCHOOL,621 ELMONT RD,,ELMONT,NY,11003,NASSAU,JOSEPH TRAINOR,EXECUTIVE DIRECTOR,5165022840,jtrainor@mdp.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS,,ELMONT UFSD,800000042180,280216997856,608475.954973453,4505759.75230866
32,MOSDOS SATMAR BP INC - GIRLS ELEMENTARY,6202 14TH AVE,,BROOKLYN,NY,11219,KINGS,JACOB GUTMAN,ADMINISTRATOR,7185084444,gutmanj@utabp.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 20,800000091339,332000226457,584760.944434425,4497760.59832122
33,LONG ISLAND SCHOOL FOR THE GIFTED,815 CONVENT RD,,SYOSSET,NY,11791,NASSAU,PATRICIA GEYER,DIRECTOR,6314233557,pgeyer@lisg.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,SYOSSET CSD,800000037236,580413998548,627907.572093438,4520194.32994014
34,YESHIVA MISHKAN AHARON,681 CHESTNUT RIDGE RD-BLDG 13,,CHESTNUT RIDGE,NY,10977,ROCKLAND,DAVID GOLDBERG,ADMINISTRATOR,8459352500,ymamonsey@gmail.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,EAST RAMAPO CSD (SPRING VALLEY),800000093558,500402226761,579666.770800358,4549355.60064087
35,GREEN CHIMNEYS-CLEARPOOL CAMPUS,33 CLEARPOOL RD,,CARMEL,NY,10512,PUTNAM,KRISTIN DIONNE,CEO,8452792995,kdionne@greenchimneys.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,CARMEL CSD,800000093362,480102996724,606009.118276681,4589898.93439862
36,SEPHARDIC ACADEMY OF MANHATTAN,7 E 96TH ST,,NEW YORK,NY,10128,NEW YORK,RACHEL HARARI,PRINCIPAL,2122496391,rharari@thesamschool.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 2,800000093343,310200226718,588169.67654271,4515720.13223516
37,UTA OF KIRYAS JOEL-KARLSBURG,20 KARLSBURG RD,,MONROE,NY,10950,ORANGE,SHLOMA WEISS,ADMINISTRATOR,8457835800,sweiss@utakj.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS,,KIRYAS JOEL VILLAGE UFSD,800000093553,441202226756,568730.449411319,4578055.72365052
38,CANTERBURY BROOK ACADEMY OF THE ARTS,267 VAN NESS ST,,NEWBURGH,NY,12550,ORANGE,KELLY ALEXANDRA TROTTA,HEAD OF SCHOOL,8457281925,admin@canterburybrookhss.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CITIES,,NEWBURGH CITY SD,800000093512,441600996746,581026.363837827,4594929.1909369
39,PEER HATORAH,1997 E 7TH ST,,BROOKLYN,NY,11223,KINGS,RAHAMIM HABER,ADMINISTRATOR,7328141548,office@peerhatorah.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 21,800000093520,332100226748,587593.71467958,4495071.09429076
40,WESTCHESTER SCHOOL FOR SPECIAL CHILDREN (THE),40 BREWSTER AVE,,YONKERS,NY,10701,WESTCHESTER,LEONARD SPANO,EXECUTIVE DIRECTOR,9143764300,lspano@westchesterschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CITIES,,YONKERS CITY SD,800000093474,662300996739,595639.428736789,4532369.95218638
41,YESODOT HATORAH-GIRLS,1123 AVE N,,BROOKLYN,NY,11230,KINGS,EDWARD SAFF,EXECUTIVE DIRECTOR,7186895900,tnadjari@yesodothatorah.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 21,800000093426,332100226736,587748.227911131,4496582.37555555
42,OLIVET ACADEMY NYC,6 BARCLAY ST-FL 2,,NEW YORK,NY,10007,NEW YORK,SEUNG HEE HAN,EDUCATION DIRECTOR,2125712777,sylvieh@olivetacademy.org,NON-PUBLIC SCHOOLS,PRESBYTERIAN,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 2,800000093488,310200756744,583713.442864652,4507287.64059833
43,CENTRAL UTA OF MONSEY,236 CHERRY LN-BLDG 2,,MONSEY,NY,10952,ROCKLAND,MOSHE ROTTENBERG,ADMINISTRATOR,8453713400,programs@cutamonsey.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,SUFFERN CSD,800000093555,500401226758,575918.739183603,4550431.24025281
44,ABILITIES FIRST INC-MYERS CORNERS,167 MYERS CORNERS RD-STE 104,,WAPPINGERS FALLS,NY,12590,DUTCHESS,JEFFREY FOX,CEO,8454859803,jeffreyfox@abilitiesfirstny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,WAPPINGERS CSD,800000093483,132101996741,593224.773118216,4605963.23047238
45,CHABAD GIRLS ACADEMY HIGH INC,506 EAST NEW YORK AVE,,BROOKLYN,NY,11225,KINGS,CHAYA MARGOLIN,DEAN,7189625033,chayamargolin@lubavitchsparkshighschool.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 17,800000093521,331700226749,589096.510931652,4501741.83728746
46,MARY CARIOLA CHILDREN'S CENTER INC,1540 MOUNT HOPE AVE,,ROCHESTER,NY,14620,MONROE,CHRISTINE SHEFFER,SUPERINTENDENT,5852710761,csheffer@marycariola.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CITIES,,ROCHESTER CITY SD,800000091983,261600996737,286945.068131157,4777484.43051197
47,ALLEN-STEVENSON SCHOOL (THE),132 E 78TH ST,,NEW YORK,NY,10075,NEW YORK,DUNCAN LYON,HEADMASTER,2122886710,dlyon@allen-stevenson.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 2,800000047525,310200997065,587782.642962705,4514226.37899664
48,MOSDOS SANZ KLAUSENBURG OF MONSEY,86 HIGHVIEW RD,,SUFFERN,NY,10901,ROCKLAND,SHAYA WALTER,CEO,8455781506,office@sanzmonsey.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,SUFFERN CSD,800000093349,500401226726,576038.191362613,4552453.09928274
49,ABILITIES FIRST INC-MIDDLETOWN EDUCATION CENTER,379 MOUNT HOPE RD,,MIDDLETOWN,NY,10940,ORANGE,JEFFERY FOX,CEO,8454859803,jefferyfox@abilitiesfirstny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CITIES,,MIDDLETOWN CITY SD,800000093382,441000996734,546214.505669198,4588113.34572276
50,YESHIVAT KINYAN TORAH,1997 E 7TH ST,,BROOKLYN,NY,11223,KINGS,MARCO PARIENTE-COHEN,CEO,9178042086,markypc3@gmail.com,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 21,800000093355,332100226719,587593.71467958,4495071.09429076
51,MS LAM MONTESSORI SCHOOL LLC,89 KENT AVE,,BROOKLYN,NY,11249,KINGS,MARK BARTOSH,CEO,6466602807,mark@mslammontessori.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 14,800000093353,331400996720,587778.544956564,4508317.91814229
52,ZUCKER JEWISH ACADEMY OF LONG ISLAND,1000 ROSEDALE RD,,VALLEY STREAM,NY,11581,NASSAU,ELCHANAN WEINGARTEN,ADMINISTRATOR,7187916566,eweingarten@zuckeracademy.org,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS,,VALLEY STREAM 24 UFSD,800000093564,280224226766,608101.06041164,4500981.39114786
53,ABILITIES FIRST INC-RAZ AVE,930 RAZ AVE,,NEW WINDSOR,NY,12553,ORANGE,JEFFREY FOX,CEO,8454859803,jeffreyfox@abilitiesfirstny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CITIES,,NEWBURGH CITY SD,800000093484,441600996742,574532.173105712,4594327.77303562
54,BLIMA RUCHEL GIRLS OF BOBOV MONSEY,116 COLLEGE RD,,MONSEY,NY,10952,ROCKLAND,ARI WALDMAN,ADMINISTRATOR,8453522644,bobov@bobovmonsey.net,NON-PUBLIC SCHOOLS,JEWISH,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,EAST RAMAPO CSD (SPRING VALLEY),800000093559,500402226762,576756.821439543,4553389.25168565
55,THE SUMMIT CENTER INC,124 ELMWOOD AVE,,BUFFALO,NY,14201,ERIE,LISA FOTI,CEO,7166293450,lfoti@thesummitcenter.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CITIES,,BUFFALO CITY SD,800000093389,140600996715,183422.594993632,4757048.6148871
56,THE SUMMIT CENTER INC,30 HAZELWOOD DR,,AMHERST,NY,14228,ERIE,LISA FOTI,CEO,7166293450,lfoti@thesummitcenter.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS,,SWEET HOME CSD,800000093390,140207996716,189463.812046927,4771123.77697997
57,LYONS COMMUNITY SCHOOL,223 GRAHAM AVE-3RD FL,,BROOKLYN,NY,11206,KINGS,NATHAN LARSEN,PRINCIPAL,7187820918,NLarsen2@schools.nyc.gov,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,PUBLIC SCHOOL (IMF),NEW YORK CITY,,NYC GEOG DIST 14,800000060396,331400011586,589207.85409851,4507080.83828842
58,SUCCESS ACADEMY BRONX 3 CMS,965 LONGWOOD AVE-FLOOR 2,,BRONX,NY,10459,BRONX,TERI WEST,ADMINISTRATOR,3473293360,sabxms.mainoffice@saschools.org,PUBLIC SCHOOLS,SATELLITE SITE FOR CHARTER SCHOOLS,OTHER- NON IMF,,,NYC GEOG DIST 8,800000093572,800000093572,592937.043687028,4519093.58529058
59,BOVL - OA/OFA,1 SHELDON GUILE BLVD,,OWEGO,NY,13827,BROOME,JEFFREY FRANEY,ADMINISTRATOR,6077633347,jfraney@btboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES BROOME-DELAWARE-TIOGA,800000093573,800000093573,394789.537745574,4663576.76081132
60,BOVL - EXCEPTIONAL EDUCATION ESA (EESA),24 ELM ST,,CUBA,NY,14727,CATTARAUGUS,KEVIN MURRAY,ADMINISTRATOR,7163768378,kevin_murray@caboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES CATTAR-ALLEGANY-ERIE-WYOMING,800000093571,800000093571,229454.101975892,4679288.85535727
61,BOVL - CF - HIGH SCHOOL,1 GORDON DR,,BINGHAMTON,NY,13901,BROOME,JEFFREY FRANEY,ADMINISTRATOR,6077633347,jfraney@btboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES BROOME-DELAWARE-TIOGA,800000081586,800000081586,429391.039598966,4671536.84874021
62,SUCCESS ACADEMY CHS OF THE LIBERAL ARTS,509 W 129TH ST-3RD FL,,NEW YORK,NY,10027,NEW YORK,MEGHAN MAINES,ADMINISTRATOR,6465580093,sahnw.mainoffice@saschools.org,PUBLIC SCHOOLS,SATELLITE SITE FOR CHARTER SCHOOLS,OTHER- NON IMF,NEW YORK CITY,,NYC GEOG DIST 5,800000084065,800000084065,588084.54341513,4518798.53884842
63,SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3,965 LONGWOOD AVE-FLOOR 2,,BRONX,NY,10459,BRONX,KATHERINE HUNTINGTON,CHARTER SCHOOL LEADER,6467902152,sabx3.mainoffice@saschools.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 8,800000075838,320800861044,592937.043687028,4519093.58529058
64,GREAT OAKS KATHLEEN SHERRY CHARTER SCHOOL,240 BLEECKER ST,,NEW YORK,NY,10014,NEW YORK,TIMBERLY WILSON,EXECUTIVE DIRECTOR,2122335152,twilson@greatoakscharter.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 2,800000075841,310200861055,584201.251595676,4509350.40168956
65,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,35 E 125TH ST,,NEW YORK,NY,10035,NEW YORK,SHANNON ORTIZ-WONG,CHARTER SCHOOL LEADER,2123603230,principalpa2@hczpromise.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 5,800000058981,310500860886,589344.946303954,4517756.66628709
66,BOVL-NIAGARA WHEATFIELD LEARNING CENTER,6839 ERRICK RD,,NORTH TONAWANDA,NY,14120,ORLEANS,SHANNON BACCARI,ADMINISTRATOR,7162153644,SBaccari@onboces.org,BOCES,BOCES VIRTUAL LOCATION,BOCES VIRTUAL LOCATION (NON-IMF),,,BOCES ORLEANS-NIAGARA,800000093568,800000093568,184143.467073923,4778425.0009215
67,NAMASTE MONTESSORI SCHOOL,1872 TRUMANSBURG RD,,TRUMANSBURG,NY,14886,TOMPKINS,BRIDGID BEAMES,DIRECTOR,6072750515,info@namastemontessorischool.com,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,,,TRUMANSBURG CSD,800000093567,800000093567,367191.853388019,4707610.53379979
68,NAMASTE MONTESSORI SCHOOL,1608 TRUMANSBURG RD,,ITHACA,NY,14850,TOMPKINS,BRIDGID BEAMES,DIRECTOR,6072750515,info@namastemontessorischool.com,INDEPENDENT ORGANIZATIONS,NON-IMF NONPUBLIC SCHOOLS,OTHER- NON IMF,SMALL CITIES,,ITHACA CITY SD,800000061037,800000061037,370410.742211807,4704994.11287886
69,LAMAD AVERNE ACADEMY CHARTER SCHOOL,"1060 CLARKSON AVE, 4TH FL",,BROOKLYN,NY,11212,BRONX,ALFRED COCKFIELD,CEO,7189130100,al@lamadacademy.org,PUBLIC SCHOOLS,CHARTER SCHOOL,CHARTER SCHOOLS (IMF),NEW YORK CITY,,NYC GEOG DIST 27,800000093525,342700861202,591072.131892294,4501483.00889958
